city_development_index,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,training_hours_log,target
0.754,1,0,0.0,0,1,3,81,4.406719247264253,0.0
0.92,1,0,1.0,0,0,0,7,2.0794415416798357,0.0
0.624,0,0,0.0,2,3,3,218,5.389071729816501,0.0
0.91,1,0,0.0,0,0,1,62,4.143134726391533,0.0
0.92,1,0,0.0,0,3,0,83,4.430816798843313,0.0
0.939,1,0,0.0,0,3,1,11,2.4849066497880004,0.0
0.926,0,2,4.0,0,0,1,10,2.3978952727983707,0.0
0.939,1,0,1.0,0,3,0,114,4.74493212836325,0.0
0.624,1,0,1.0,0,3,0,36,3.6109179126442243,0.0
0.804,0,0,1.0,0,3,0,17,2.8903717578961645,0.0
0.91,0,1,0.0,0,3,3,80,4.394449154672439,1.0
0.92,1,2,0.0,0,0,1,108,4.6913478822291435,0.0
0.92,1,0,0.0,0,3,2,45,3.828641396489095,0.0
0.92,0,1,0.0,0,1,3,77,4.356708826689592,0.0
0.926,1,0,1.0,0,3,2,8,2.1972245773362196,0.0
0.878,0,0,0.0,0,1,0,28,3.367295829986474,0.0
0.727,1,0,0.0,0,3,1,37,3.6375861597263857,0.0
0.91,0,1,0.0,0,3,2,108,4.6913478822291435,1.0
0.92,1,0,0.0,0,3,2,162,5.093750200806762,0.0
0.754,1,1,2.0,2,3,1,41,3.7376696182833684,0.0
0.903,1,0,1.0,0,3,3,4,1.6094379124341003,0.0
0.884,0,0,4.0,0,3,0,41,3.7376696182833684,0.0
0.903,1,0,0.0,0,3,2,12,2.5649493574615367,0.0
0.92,1,0,0.0,0,0,0,190,5.25227342804663,0.0
0.624,1,0,0.0,0,3,1,29,3.4011973816621555,1.0
0.92,1,0,0.0,0,3,0,11,2.4849066497880004,0.0
0.92,0,1,2.0,2,3,0,30,3.4339872044851463,0.0
0.92,1,0,1.0,0,3,1,39,3.6888794541139363,0.0
0.804,1,1,2.0,2,3,0,16,2.833213344056216,0.0
0.926,0,0,0.0,0,0,1,5,1.791759469228055,0.0
0.698,0,1,2.0,2,3,3,39,3.6888794541139363,0.0
0.926,1,0,1.0,0,3,1,29,3.4011973816621555,0.0
0.624,1,1,1.0,0,2,2,210,5.351858133476067,0.0
0.92,0,2,2.0,2,3,0,54,4.007333185232471,0.0
0.92,1,0,0.0,0,3,3,44,3.8066624897703196,0.0
0.91,1,0,0.0,0,3,1,47,3.871201010907891,0.0
0.92,1,0,0.0,0,0,1,74,4.31748811353631,0.0
0.624,1,0,1.0,0,3,0,8,2.1972245773362196,1.0
0.624,0,1,0.0,0,3,3,20,3.044522437723423,1.0
0.92,1,0,0.0,0,3,0,162,5.093750200806762,0.0
0.893,0,0,0.0,3,3,0,110,4.709530201312334,0.0
0.762,1,2,2.0,2,3,0,262,5.572154032177765,0.0
0.836,1,0,1.0,0,3,0,6,1.9459101490553132,0.0
0.6659999999999999,1,2,0.0,0,3,0,19,2.995732273553991,1.0
0.6659999999999999,0,0,0.0,0,0,1,23,3.1780538303479458,1.0
0.624,0,0,0.0,0,3,0,107,4.68213122712422,1.0
0.897,1,0,1.0,0,3,1,134,4.90527477843843,0.0
0.926,1,0,1.0,0,3,0,40,3.713572066704308,0.0
0.884,1,0,0.0,0,3,0,11,2.4849066497880004,0.0
0.92,1,0,0.0,0,3,3,102,4.634728988229636,0.0
0.624,0,1,0.0,0,3,3,100,4.61512051684126,0.0
0.923,0,0,1.0,0,3,3,30,3.4339872044851463,0.0
0.92,0,0,2.0,2,1,0,20,3.044522437723423,1.0
0.92,1,0,0.0,0,3,3,4,1.6094379124341003,0.0
0.91,0,0,,2,1,3,15,2.772588722239781,0.0
0.624,0,0,0.0,0,3,0,14,2.70805020110221,1.0
0.923,0,0,,2,3,3,103,4.6443908991413725,0.0
0.92,1,2,0.0,0,1,2,40,3.713572066704308,0.0
0.91,1,0,4.0,0,0,2,27,3.332204510175204,0.0
0.926,0,0,2.0,2,3,1,46,3.8501476017100584,0.0
0.926,1,0,2.0,2,3,1,110,4.709530201312334,0.0
0.92,1,0,0.0,0,3,0,96,4.574710978503383,0.0
0.92,1,0,0.0,0,1,2,57,4.060443010546419,0.0
0.92,1,1,0.0,0,3,0,240,5.484796933490655,0.0
0.949,1,0,0.0,0,2,3,42,3.7612001156935624,0.0
0.939,1,0,1.0,0,3,0,16,2.833213344056216,1.0
0.64,1,0,0.0,0,0,3,40,3.713572066704308,1.0
0.92,1,0,0.0,0,1,2,94,4.553876891600541,0.0
0.794,0,0,0.0,0,3,0,160,5.081404364984463,0.0
0.878,0,2,0.0,0,3,0,25,3.258096538021482,0.0
0.516,1,0,0.0,0,3,0,11,2.4849066497880004,0.0
0.878,1,0,2.0,2,3,0,29,3.4011973816621555,0.0
0.698,1,0,0.0,0,3,0,23,3.1780538303479458,0.0
0.727,1,0,0.0,0,3,2,113,4.736198448394496,0.0
0.754,1,0,0.0,0,3,2,56,4.04305126783455,0.0
0.924,0,1,0.0,0,3,0,39,3.6888794541139363,1.0
0.92,0,0,0.0,0,3,0,20,3.044522437723423,0.0
0.92,1,1,0.0,0,0,0,40,3.713572066704308,0.0
0.92,1,0,1.0,0,0,1,56,4.04305126783455,0.0
0.555,0,1,0.0,0,2,0,106,4.672828834461906,0.0
0.926,1,2,0.0,0,3,2,64,4.174387269895637,0.0
0.754,1,0,0.0,0,1,0,51,3.9512437185814275,0.0
0.855,1,1,0.0,0,3,2,41,3.7376696182833684,0.0
0.92,1,0,0.0,0,3,1,150,5.017279836814924,0.0
0.579,1,0,0.0,0,2,0,320,5.771441123130016,0.0
0.897,1,0,1.0,0,3,3,20,3.044522437723423,0.0
0.624,0,1,0.0,2,2,0,9,2.302585092994046,1.0
0.804,1,1,0.0,0,3,0,74,4.31748811353631,0.0
0.624,1,0,1.0,0,3,0,129,4.867534450455582,1.0
0.855,1,0,1.0,0,3,0,42,3.7612001156935624,0.0
0.913,0,0,2.0,2,3,3,58,4.07753744390572,0.0
0.92,0,1,2.0,2,3,0,126,4.844187086458591,1.0
0.92,0,0,2.0,2,2,0,45,3.828641396489095,1.0
0.923,1,0,0.0,0,0,1,166,5.117993812416755,0.0
0.913,1,0,0.0,0,3,0,110,4.709530201312334,0.0
0.92,1,1,0.0,0,0,0,37,3.6375861597263857,0.0
0.804,1,2,0.0,0,3,0,95,4.564348191467836,1.0
0.92,1,0,0.0,0,0,1,29,3.4011973816621555,1.0
0.926,1,0,1.0,0,0,1,31,3.4657359027997265,0.0
0.743,0,1,1.0,0,3,1,97,4.584967478670572,0.0
0.926,0,0,,2,3,3,16,2.833213344056216,0.0
0.92,0,0,,2,2,3,14,2.70805020110221,0.0
0.804,1,0,4.0,0,0,1,206,5.332718793265369,0.0
0.92,1,0,0.0,0,3,0,204,5.3230099791384085,0.0
0.92,1,0,1.0,0,3,2,116,4.762173934797756,0.0
0.804,1,0,1.0,0,3,3,161,5.087596335232384,0.0
0.92,1,0,0.0,0,0,1,25,3.258096538021482,1.0
0.92,1,0,0.0,0,3,1,94,4.553876891600541,0.0
0.92,1,0,0.0,0,3,1,16,2.833213344056216,0.0
0.698,1,1,1.0,0,3,0,100,4.61512051684126,0.0
0.92,1,0,0.0,0,3,3,107,4.68213122712422,0.0
0.769,1,2,1.0,0,3,0,17,2.8903717578961645,0.0
0.91,1,0,0.0,0,3,0,140,4.948759890378168,0.0
0.939,1,0,0.0,1,3,2,75,4.330733340286331,0.0
0.939,1,0,2.0,2,3,0,59,4.0943445622221,0.0
0.899,1,0,2.0,2,3,0,146,4.990432586778736,0.0
0.865,0,0,0.0,2,3,3,302,5.713732805509369,0.0
0.855,1,0,1.0,0,3,2,42,3.7612001156935624,1.0
0.92,1,0,0.0,5,3,0,131,4.882801922586371,0.0
0.698,1,2,2.0,2,3,3,74,4.31748811353631,0.0
0.91,1,0,0.0,0,3,0,22,3.1354942159291497,0.0
0.804,0,0,0.0,0,3,3,53,3.9889840465642745,1.0
0.913,1,0,1.0,0,0,1,143,4.969813299576001,0.0
0.855,1,0,0.0,0,3,2,72,4.290459441148391,0.0
0.92,1,0,2.0,2,3,0,7,2.0794415416798357,0.0
0.897,0,1,0.0,0,3,0,182,5.209486152841421,0.0
0.915,1,0,0.0,0,3,3,50,3.9318256327243257,0.0
0.887,1,0,2.0,2,3,0,82,4.418840607796598,0.0
0.91,1,0,0.0,0,3,0,58,4.07753744390572,0.0
0.924,1,0,0.0,0,3,0,94,4.553876891600541,0.0
0.624,1,0,0.0,0,2,2,60,4.110873864173311,1.0
0.802,1,1,1.0,0,1,3,124,4.8283137373023015,0.0
0.6890000000000001,0,0,,2,3,2,46,3.8501476017100584,0.0
0.698,0,1,1.0,0,3,2,57,4.060443010546419,1.0
0.92,1,0,0.0,0,3,0,17,2.8903717578961645,0.0
0.92,1,0,0.0,0,3,1,101,4.624972813284271,0.0
0.698,0,0,,2,3,3,31,3.4657359027997265,0.0
0.897,1,0,0.0,0,0,0,36,3.6109179126442243,0.0
0.893,1,2,0.0,0,3,3,198,5.293304824724492,0.0
0.91,0,0,1.0,0,1,3,31,3.4657359027997265,0.0
0.55,1,0,1.0,0,3,0,12,2.5649493574615367,0.0
0.92,1,0,0.0,0,0,0,31,3.4657359027997265,0.0
0.92,1,0,0.0,0,3,1,26,3.295836866004329,1.0
0.92,1,0,0.0,0,3,0,55,4.02535169073515,0.0
0.624,1,0,0.0,0,3,1,8,2.1972245773362196,1.0
0.91,1,0,2.0,2,0,1,38,3.6635616461296463,0.0
0.899,1,0,0.0,1,3,2,8,2.1972245773362196,0.0
0.878,1,0,1.0,0,0,3,32,3.4965075614664802,1.0
0.7759999999999999,1,2,0.0,0,3,1,51,3.9512437185814275,0.0
0.804,1,1,0.0,0,3,2,22,3.1354942159291497,0.0
0.926,1,1,2.0,2,3,0,17,2.8903717578961645,0.0
0.91,0,0,0.0,2,3,3,24,3.2188758248682006,0.0
0.899,1,0,0.0,0,1,0,19,2.995732273553991,0.0
0.624,1,1,1.0,0,3,2,46,3.8501476017100584,1.0
0.91,1,0,0.0,0,3,1,15,2.772588722239781,0.0
0.92,1,0,1.0,0,0,1,23,3.1780538303479458,1.0
0.893,1,0,0.0,0,0,1,38,3.6635616461296463,0.0
0.624,0,1,1.0,0,2,3,46,3.8501476017100584,1.0
0.804,0,1,0.0,3,3,3,214,5.3706380281276624,0.0
0.92,1,0,0.0,0,0,1,52,3.970291913552122,0.0
0.92,0,0,0.0,0,3,3,22,3.1354942159291497,1.0
0.926,1,0,1.0,0,3,2,65,4.189654742026425,0.0
0.92,1,1,0.0,5,3,0,64,4.174387269895637,0.0
0.92,1,0,0.0,0,3,3,86,4.465908118654584,0.0
0.887,0,1,0.0,0,2,0,52,3.970291913552122,1.0
0.897,1,0,1.0,0,3,1,21,3.091042453358316,0.0
0.926,0,0,0.0,0,3,0,86,4.465908118654584,0.0
0.897,0,1,1.0,0,1,3,288,5.666426688112432,1.0
0.91,1,0,1.0,0,0,1,53,3.9889840465642745,0.0
0.939,1,0,0.0,0,3,0,60,4.110873864173311,0.0
0.91,1,0,1.0,0,3,1,178,5.187385805840755,0.0
0.939,1,0,4.0,0,0,2,166,5.117993812416755,0.0
0.924,1,0,4.0,1,0,0,62,4.143134726391533,0.0
0.624,1,1,0.0,0,3,0,35,3.58351893845611,0.0
0.92,1,0,0.0,0,3,1,106,4.672828834461906,0.0
0.836,0,0,0.0,0,3,3,58,4.07753744390572,0.0
0.698,1,1,1.0,2,3,3,44,3.8066624897703196,1.0
0.91,1,0,1.0,0,3,0,72,4.290459441148391,0.0
0.92,1,0,2.0,2,3,0,80,4.394449154672439,0.0
0.939,1,0,1.0,0,3,2,166,5.117993812416755,0.0
0.895,1,0,1.0,0,0,0,25,3.258096538021482,0.0
0.92,1,0,0.0,3,0,3,109,4.700480365792417,0.0
0.884,1,0,0.0,0,3,0,37,3.6375861597263857,0.0
0.55,0,1,0.0,0,2,3,55,4.02535169073515,1.0
0.92,0,0,0.0,2,3,3,32,3.4965075614664802,0.0
0.89,0,0,0.0,0,3,3,51,3.9512437185814275,0.0
0.92,1,0,0.0,0,3,0,84,4.442651256490317,0.0
0.926,1,0,0.0,0,0,0,72,4.290459441148391,0.0
0.887,1,0,2.0,2,0,0,47,3.871201010907891,0.0
0.855,0,1,0.0,0,3,3,47,3.871201010907891,0.0
0.754,1,0,2.0,2,3,2,20,3.044522437723423,0.0
0.624,1,0,0.0,0,3,0,198,5.293304824724492,1.0
0.92,0,0,0.0,2,3,0,64,4.174387269895637,0.0
0.8959999999999999,1,0,1.0,0,3,1,23,3.1780538303479458,1.0
0.884,0,1,1.0,0,3,3,96,4.574710978503383,0.0
0.624,0,0,2.0,2,3,3,306,5.726847747587197,0.0
0.754,1,0,0.0,0,3,0,8,2.1972245773362196,0.0
0.762,1,0,0.0,0,0,0,48,3.8918202981106265,0.0
0.624,1,0,0.0,0,3,0,98,4.59511985013459,1.0
0.926,0,0,4.0,0,3,3,46,3.8501476017100584,0.0
0.92,0,1,0.0,0,3,0,53,3.9889840465642745,1.0
0.92,1,0,0.0,4,0,0,102,4.634728988229636,0.0
0.92,0,1,0.0,0,2,0,76,4.343805421853684,0.0
0.92,0,0,,2,3,3,43,3.784189633918261,0.0
0.92,0,0,0.0,0,0,1,32,3.4965075614664802,0.0
0.855,1,0,0.0,0,1,0,54,4.007333185232471,0.0
0.767,1,1,1.0,0,3,0,7,2.0794415416798357,0.0
0.884,1,0,1.0,0,3,2,322,5.777652323222656,1.0
0.847,1,0,0.0,2,0,3,96,4.574710978503383,0.0
0.92,1,1,0.0,0,2,0,7,2.0794415416798357,0.0
0.91,1,0,0.0,0,3,0,53,3.9889840465642745,0.0
